content,category,example1,example2,example3,source,ans
만화영화 <톰과 제리>가 우리나라에서 처음 방송될 때 제목은?,객관식,생쥐와 고양이,깐돌이와 야옹이,미련한 고양이와 꾀돌이 쥐,1 대 100 - 11회,깐돌이와 야옹이
입체파인 선구자?파블로 피카소가 민간인 학살을 통해 전쟁의 참상을 고발한 작품이다. 같은 배경을 가진 것은?,객관식,영화 <태극기 휘날리며>,영화 <라이언 일병 구하기>,뮤지컬 <미스 사이공>,1 대 100 - 248회,영화 <태극기 휘날리며>
속담 <불 없는 화로 ( ) 없는 사위>에서 ( )은?,객관식,눈치,싸가지,딸,1 대 100 - 55회,딸
이것은 현존하는 물질 중에 가장 검은 물질로 빛을 99.96% 흡수할 수 있다고 한다. 적의 눈에 띄지 않는 첩보 위성 개발 등 활용성이 다양해 세계에서 주목받고 있는 이것은?,객관식,반타 블랙(Vanta Black),나노 블랙(Nano Black),솜버 블랙(Somber Black),1 대 100 - 499회,반타 블랙(Vanta Black)
18세기 유럽에서는 많은 예술인들과 지식인들이 커피를 즐겼다. 특히 (이 사람)은 죽기 직전 <더 이상 커피 잔을 들 수 없겠구나>라는 말을 남겼을 정도로 커피를 좋아했다고 하는데 이 사람은?,객관식,볼테르,루소,괴테,1 대 100 - 499회,루소
병자호란 때 새겨진?삼전도비에 새겨지지 않은 문자는?,객관식,만주문자,위구르문자,몽골문자,1 대 100 - 42회,위구르문자
카이사르가 <주사위는 던져졌다>라는 말을 하고 건넌?루비콘 강은 어디에 위치해 있는가?,객관식,터키,그리스,이탈리아,1 대 100 - 186회,이탈리아
표준 88건반 피아노의 왼쪽 끝 음은?,객관식,도,시,라,1 대 100 - 22회,라
미국 내에서 가장 많이 팔린 음반의 가수는?,객관식,이글스,마이클 잭슨,엘비스 프레슬리,1 대 100 - 35회,이글스
갈피를 잡을 수 없도록 마구 지껄이는 모양을 가리키는 말이 아닌 것은?,객관식,콩켸팥켸,콩팔칠팔,콩칠팔칠,1 대 100 - 85회,콩켸팥켸
청소년보호법에서는 청소년을 만 19세 미만으로 규정한다. 소년법에서 소년은?,객관식,13세 미만,15세 미만,19세 미만,1 대 100 -237회,19세 미만
19세기 중반 주세페 도나티에 의해 발명된 관악기 <오카리나>는 이탈리어로 <작은 (이 새)>를 뜻한다. 이 새는?,객관식,펠리컨,종달새,거위,1 대 100 - 435회 ,거위
스파게티 까르보나라를 먹었다. 까르보나라의 어원은?,객관식,숯,크림,달걀 노른자,1 대 100 - 10회,숯
나'는 알프스 산맥을 넘지 않았다. '나'는?,객관식,한니발,칭기즈칸,나폴레옹,1 대 100 - 5회,칭기즈칸
아들 자(子)가 아닌 것은?,객관식,읽고 쓰는 글'자',사진을 끼우는 액'자',차로 마시는 오미'자',1 대 100 - 21회,읽고 쓰는 글'자'
뜨는 원리가 다른 하나는?,객관식,배,풍선,비행기,1 대 100 - 17회,비행기
가장 먼저 생긴 것은?,객관식,덕수궁 세종대왕 동상,광화문 이순신 장군 동상,자유공원 맥아더 장군 동상,1 대 100 - 26회,자유공원 맥아더 장군동상
다보탑은?,객관식,다보여래상주사리탑,다보여래상주아미탑,다보여래주증명탑,1 대 100 - 61회,다보여래주증명탑
사람 이름에서 유래하지 않은 맥주는?,객관식,기네스,호가든,하이네켄,1 대 100 - 62회,호가든
<개가 콩엿 사먹고 ( )나무에 올라간다>는 속담에서 이 나무는?,객관식,느티나무,버드나무,대추나무,1 대 100 - 62회,버드나무
식물 이름은?,객관식,등골나물,오싹나물,바들나물,1 대 100 - 30회,등골나물
순우리말은?,객관식,개밥바라기,말밥바라기,쥐밥바라기,1 대 100 - 30회,개밥바라기
온라인 쇼핑몰을 주로 이용하던 우종이는 매번 신용카드 번호와 개인 정보를 새로 입력했으나 최근에는 ID와 패스워드만 입력하면 결제가 가능한 ( )결제 서비스를 이용하고 있다. ( )는?,객관식,간편,즉석,안심,1 대 100 - 396회,간편
주민등록번호 뒷자리가 <4>로 시작하는 사람은?,객관식,2000년 이후 출생한 남자,2000년 이후 출생한 여자,귀화한 외국인 남자,1 대 100 - 414회,2000년 이후 출생한 남자
현재 여의도 국회의사당 자리에 있던 ( )산은 1968년 한강개발사업으로 깎여나갔다고 한다. ( )는?,객관식,모자,양말,장갑,1 대 100 - 139회,양말
서기전 4세기 알렉산더 대왕은 사령관으로부터 <(이 나라)에서는 벌의 도움을 받지 않고 갈대에서 꿀을 얻고 있다는 보고를 받고 놀랐다고 한다. 이는 설탕의 기원에 관한 기록으로 알려져 있는데 이 나라는?,객관식,인도,이집트,이란,1 대 100 - 139회,인도
"슈베르트,안네 프랑크, 라이트 형제, 심훈과(와) 관련 깊은 것은?",객관식,콜레라,페스트,장티푸스,1 대 100 - 139회,장티푸스
만화 <쿵푸 팬더>에서 무적의 5인방 중 하나로 <당랑거철>과 관계있는 것은?,객관식,쇠똥구리,방아깨비,버마재비,1 대 100 - 63회,버마재비
개인택시에서 볼 수 있는 개인 <가>에서 <가>의 뜻은?,객관식,쉬는 날,영업지역,운전사등급,1 대 100 - 39회,쉬는 날
끊여도 김이 나지 않아 입천장을 데기 쉬운 매생이죽의 별칭은?,객관식,미운 시어머니죽,미운 시누이죽,미운 사위죽,1 대 100 - 39회,미운 사위죽
범수는 여자 친구보다 키가 커 보이려고 (이것)을 들었다. (이것)은?,객관식,까치발,깨끼발,설레발,1 대 100 - 54회,까치발
신발을 신는 경기는?,객관식,태권도,레슬링,검도,1 대 100 - 54회,레슬링
